MAX_LENGTH,BATCH_SIZE,LEARNING_RATE,WEIGHT_DECAY,WARMUP_RATIO,DROPOUT,GRADIENT_CLIP,EPOCHS,EARLY_STOPPING_PATIENCE,W_F1,W_ASR,W_FRR,T_BLOCK,T_TRANSFORM,trial,val_f1,val_asr,val_frr,score,regex_f1,regex_asr,regex_frr,regex_score
380,8,1e-05,0.1,0.05,0.1,0.5,5,3,0.3,0.5,0.2,0.6,0.2,52,0.8571,0.0984,0.13,0.88193,0.8479,0.1311,0.12,0.86482
444,4,2e-05,0.01,0.05,0.2,0.5,3,3,0.3,0.5,0.2,0.4,0.25,53,0.9062,0.0656,0.06,0.92706,0.9007,0.0656,0.06,0.92541
444,4,2e-05,0.05,0.1,0.1,0.5,5,3,0.3,0.5,0.2,0.7,0.2,54,0.8918,0.082,0.07,0.91254,0.8863,0.082,0.07,0.91089
256,4,1e-05,0.1,0.1,0.1,0.5,3,3,0.3,0.5,0.2,0.7,0.3,55,0.8865,0.082,0.11,0.90295,0.8807,0.0902,0.1,0.89911
512,4,3e-05,0.1,0.05,0.3,0.5,3,2,0.3,0.5,0.2,0.5,0.2,56,0.8888,0.0574,0.11,0.91594,0.8834,0.0574,0.11,0.91432
256,4,1e-05,0.05,0.1,0.3,1.0,5,2,0.3,0.5,0.2,0.7,0.2,57,0.8669,0.0656,0.14,0.89927,0.8621,0.082,0.13,0.89163
380,8,3e-05,0.1,0.05,0.2,0.5,3,2,0.3,0.5,0.2,0.4,0.2,58,0.892,0.0574,0.09,0.9209,0.887,0.0492,0.1,0.9215
444,4,3e-05,0.1,0.1,0.2,0.5,5,3,0.3,0.5,0.2,0.7,0.2,59,0.8906,0.0492,0.09,0.92458,0.8903,0.0574,0.08,0.92239
256,8,3e-05,0.05,0.1,0.1,0.5,3,2,0.3,0.5,0.2,0.7,0.4,60,0.8819,0.0574,0.14,0.90787,0.8882,0.0656,0.1,0.91366
512,4,1e-05,0.1,0.1,0.3,1.0,3,3,0.3,0.5,0.2,0.6,0.4,61,0.8816,0.0574,0.13,0.90978,0.8767,0.0656,0.13,0.90421
256,4,2e-05,0.05,0.1,0.2,1.0,3,3,0.3,0.5,0.2,0.6,0.2,62,0.9072,0.0656,0.07,0.92536,0.8974,0.082,0.06,0.91622
512,4,1e-05,0.1,0.1,0.2,0.5,3,3,0.3,0.5,0.2,0.5,0.3,63,0.8803,0.0738,0.11,0.90519,0.8748,0.0738,0.11,0.90354
380,8,2e-05,0.1,0.1,0.1,0.5,3,2,0.3,0.5,0.2,0.4,0.2,64,0.8827,0.082,0.12,0.89981,0.8772,0.082,0.12,0.89816
256,8,1e-05,0.1,0.05,0.2,1.0,5,3,0.3,0.5,0.2,0.7,0.4,65,0.8632,0.0574,0.16,0.89826,0.8524,0.1311,0.11,0.86817
380,8,1e-05,0.1,0.05,0.1,1.0,5,3,0.3,0.5,0.2,0.6,0.4,66,0.8666,0.0902,0.12,0.89088,0.8538,0.1311,0.11,0.86859
512,4,2e-05,0.1,0.1,0.2,1.0,5,3,0.3,0.5,0.2,0.8,0.3,67,0.8973,0.0738,0.07,0.91829,0.8796,0.1148,0.07,0.89248
380,8,1e-05,0.05,0.1,0.3,1.0,5,2,0.3,0.5,0.2,0.8,0.4,68,0.8534,0.1475,0.09,0.86427,0.7533,0.3525,0.03,0.74374
444,4,2e-05,0.01,0.1,0.1,0.5,5,2,0.3,0.5,0.2,0.6,0.4,69,0.8797,0.0984,0.08,0.89871,0.878,0.0984,0.07,0.9002
